strain	category	AtMSQTsnp 2	AtMSQTsnp 4	AtMSQTsnp 40	AtMSQTsnp 49	AtMSQTsnp 8	AtMSQTsnp 9	AtMSQTsnp 10	AtMSQTsnp 62	AtMSQTsnp 11	AtMSQTsnp 76	AtMSQTsnp 12	AtMSQTsnp 14	AtMSQTsnp 15	AtMSQTsnp 18	AtMSQTsnp 21	AtMSQTsnp 22	AtMSQTsnp 27	AtMSQTsnp 29	AtMSQTsnp 30	AtMSQTsnp 31	AtMSQTsnp 38	AtMSQTsnp 41	AtMSQTsnp 47	AtMSQTsnp 48	AtMSQTsnp 53	AtMSQTsnp 54	AtMSQTsnp 57	AtMSQTsnp 58	AtMSQTsnp 60	AtMSQTsnp 63	AtMSQTsnp 65	AtMSQTsnp 67	AtMSQTsnp 69	AtMSQTsnp 73	AtMSQTsnp 85	AtMSQTsnp 87	AtMSQTsnp 88	AtMSQTsnp 90	AtMSQTsnp 91	AtMSQTsnp 92	AtMSQTsnp 97	AtMSQTsnp 100	AtMSQTsnp 101	AtMSQTsnp 104	AtMSQTsnp 108	AtMSQTsnp 114	AtMSQTsnp 118	AtMSQTsnp 123	AtMSQTsnp 126	AtMSQTsnp 128	AtMSQTsnp 129	AtMSQTsnp 130	AtMSQTsnp 132	AtMSQTsnp 138	AtMSQTsnp 140	AtMSQTsnp 142	AtMSQTsnp 143	AtMSQTsnp 145	AtMSQTsnp 155	AtMSQTsnp 156	AtMSQTsnp 159	AtMSQTsnp 164	AtMSQTsnp 169	AtMSQTsnp 170	AtMSQTsnp 173	AtMSQTsnp 174	AtMSQTsnp 177	AtMSQTsnp 184	AtMSQTsnp 186	AtMSQTsnp 187	AtMSQTsnp 231	AtMSQTsnp 188	AtMSQTsnp 189	AtMSQTsnp 191	AtMSQTsnp 194	AtMSQTsnp 197	AtMSQTsnp 198	AtMSQTsnp 203	AtMSQTsnp 205	AtMSQTsnp 214	AtMSQTsnp 220	AtMSQTsnp 222	AtMSQTsnp 223	AtMSQTsnp 232	AtMSQTsnp 235	AtMSQTsnp 237	AtMSQTsnp 242	AtMSQTsnp 244	AtMSQTsnp 286	AtMSQTsnp 249	AtMSQTsnp 300	AtMSQTsnp 304	AtMSQTsnp 254	AtMSQTsnp 260	AtMSQTsnp 263	AtMSQTsnp 266	AtMSQTsnp 267	AtMSQTsnp 274	AtMSQTsnp 278	AtMSQTsnp 279	AtMSQTsnp 281	AtMSQTsnp 282	AtMSQTsnp 285	AtMSQTsnp 288	AtMSQTsnp 292	AtMSQTsnp 294	AtMSQTsnp 306	AtMSQTsnp 307	AtMSQTsnp 310	AtMSQTsnp 312	AtMSQTsnp 315	AtMSQTsnp 360	AtMSQTsnp 321	AtMSQTsnp 323	AtMSQTsnp 325	AtMSQTsnp 327	AtMSQTsnp 331	AtMSQTsnp 388	AtMSQTsnp 397	AtMSQTsnp 399	AtMSQTsnp 334	AtMSQTsnp 343	AtMSQTsnp 350	AtMSQTsnp 351	AtMSQTsnp 355	AtMSQTsnp 358	AtMSQTsnp 359	AtMSQTsnp 361	AtMSQTsnp 368	AtMSQTsnp 370	AtMSQTsnp 372	AtMSQTsnp 373	AtMSQTsnp 378	AtMSQTsnp 379	AtMSQTsnp 390	AtMSQTsnp 392	AtMSQTsnp 394	AtMSQTsnp 395	AtMSQTsnp 398	AtMSQTsnp 404	AtMSQTsnp 406	AtMSQTsnp 408	AtMSQTsnp 409	AtMSQTsnp 410	AtMSQTsnp 412	AtMSQTsnp 415
2ND 96_cs1353 Lu-1_C09	2ND	1	1	2	4	1	4	1	1	4	4	1	4	4	3	2	1	0	4	0	3	1	2	0	2	4	3	4	0	0	1	3	0	4	4	1	4	3	4	0	0	3	3	3	2	1	3	3	1	3	3	0	4	2	4	1	2	2	2	0	0	2	0	3	0	1	3	3	0	0	4	3	4	3	2	4	1	2	1	0	1	1	4	3	1	0	2	2	3	0	1	1	2	2	2	2	4	0	4	3	4	2	4	4	1	4	3	2	1	1	2	4	0	2	1	4	3	0	2	3	1	2	2	3	1	4	3	3	1	0	1	0	1	2	1	4	0	1	3	3	4	0	3	2	1	4	3
2ND 96_cs1385Na-1_E09	2ND	1	2	3	2	1	3	1	1	4	4	1	1	2	3	4	3	0	1	0	4	1	4	0	2	2	1	4	0	0	1	3	0	3	2	4	2	3	2	0	0	3	3	1	4	1	3	1	1	3	3	0	4	4	4	2	2	1	2	0	0	2	0	4	0	3	3	3	0	0	0	3	2	3	5	1	1	2	4	0	3	3	3	3	2	0	0	2	3	0	3	1	2	1	1	4	4	0	4	3	4	2	4	4	3	4	3	2	0	2	2	1	0	2	1	2	3	0	2	4	1	2	2	3	1	4	3	4	3	0	3	0	3	3	3	2	0	3	1	2	4	0	1	2	1	1	3
2ND 96_cs1439 Pa-1_G09	2ND	3	1	3	4	3	4	1	1	4	4	1	1	4	2	2	3	0	1	0	3	1	4	0	2	4	1	4	0	0	2	1	0	3	2	1	0	3	4	0	0	3	3	3	2	3	3	3	3	3	3	0	2	4	4	1	4	1	4	0	0	4	0	4	0	1	3	1	0	0	1	0	4	0	2	1	1	4	0	0	1	3	3	3	1	0	0	2	1	0	1	3	4	2	2	4	3	0	4	3	4	2	4	4	3	4	3	3	4	1	4	1	0	2	3	4	4	0	2	3	1	2	4	1	1	4	1	4	1	0	1	1	3	3	3	2	0	3	1	3	2	0	1	2	3	1	1
2ND 96_cs1445 Per-1_H09	2ND	3	2	2	2	1	3	3	1	4	2	1	4	4	2	4	1	0	4	0	3	1	4	0	4	2	1	2	0	0	2	1	0	4	2	1	2	1	4	0	0	2	1	3	2	3	3	1	3	1	3	0	4	4	4	1	2	1	4	0	0	4	0	3	0	1	3	3	0	0	4	3	4	0	1	4	1	2	1	0	1	3	4	1	1	0	9	4	1	0	1	3	4	2	2	4	4	2	3	1	2	4	4	4	1	4	4	2	1	1	4	4	4	1	1	2	4	0	2	4	1	2	4	3	3	4	3	4	3	0	3	0	3	2	1	2	0	1	3	2	4	0	3	4	3	1	3
2ND 96_cs1455 Pi-0_A10	2ND	3	1	2	2	3	4	3	1	4	4	1	1	2	2	4	1	0	4	0	4	1	2	0	2	4	1	4	0	0	1	3	0	3	4	1	4	3	2	0	0	3	3	1	4	1	3	1	1	3	4	0	4	4	4	2	2	1	2	0	0	4	0	3	0	3	1	1	1	0	1	3	2	3	2	4	1	4	1	0	3	3	4	3	2	0	2	2	3	0	3	3	4	2	2	4	3	0	3	3	4	2	1	4	3	2	3	2	1	1	4	1	0	2	1	2	3	0	2	4	3	2	4	3	3	4	3	3	1	0	3	1	3	3	3	2	0	1	3	3	2	0	1	2	3	4	1
2ND 96_cs1459 Pla-0_B10	2ND	1	1	2	4	1	3	3	3	4	2	3	1	4	2	2	3	0	4	0	4	1	4	0	4	4	3	4	0	0	2	1	0	4	2	1	2	1	4	0	0	2	3	3	4	3	1	1	1	3	3	0	4	4	4	2	4	1	2	0	0	4	0	4	0	3	3	3	0	0	1	1	2	3	1	1	1	4	1	0	1	3	4	3	1	0	2	2	1	0	1	1	4	2	1	4	3	0	4	3	2	4	4	2	3	4	3	2	1	1	2	4	0	1	1	2	4	0	1	3	3	2	2	1	1	3	3	3	3	0	3	1	3	3	3	2	0	3	1	3	2	0	1	4	3	1	1
2ND 96_cs1482 Rd-0_C10	2ND	3	2	3	4	1	4	1	1	4	2	3	4	2	3	4	3	0	4	0	4	1	4	0	4	2	1	4	0	0	1	1	0	4	2	1	2	3	4	0	0	2	3	3	2	3	1	3	3	3	4	0	4	2	2	1	2	1	2	0	0	2	0	3	0	1	1	3	4	0	4	1	2	3	2	4	1	2	1	0	1	3	4	3	1	0	2	2	3	0	3	1	2	1	1	4	4	0	4	1	4	4	1	2	1	2	3	2	4	2	4	4	0	2	1	2	3	0	2	3	1	2	4	3	3	4	3	3	3	0	1	1	3	2	1	2	1	1	1	2	4	0	1	4	1	4	3
2ND 96_cs1485 Rak-2_E10	2ND	3	2	2	2	1	3	3	1	2	4	3	4	4	2	4	3	0	4	0	3	1	2	0	2	4	3	4	0	0	1	1	0	3	4	1	2	3	4	0	0	2	1	3	4	3	3	3	1	3	3	0	4	2	4	1	4	1	2	0	0	2	0	3	0	1	3	3	0	0	1	3	2	3	2	4	1	4	1	0	1	3	4	3	2	0	2	4	1	0	3	1	2	2	2	4	4	0	4	3	4	2	4	4	1	4	3	2	4	1	4	1	0	2	1	2	3	0	2	3	3	2	4	3	3	4	1	3	3	0	3	0	3	2	3	2	0	3	3	3	2	0	1	2	1	4	3
2ND 96_cs1507 Sap-0_G10	2ND	3	2	2	4	1	4	3	3	4	4	1	4	4	2	4	3	0	1	0	3	2	2	0	4	4	3	4	0	0	2	1	0	4	4	1	4	3	4	0	0	3	1	3	4	1	1	3	1	3	4	0	4	2	2	1	2	2	2	0	0	4	0	3	0	1	3	3	1	0	1	3	2	0	2	4	1	4	4	0	1	3	3	3	2	0	2	4	1	0	3	3	4	2	2	2	3	2	4	3	4	4	1	4	1	4	3	3	4	1	4	4	0	2	1	4	4	0	2	3	1	2	2	3	3	3	1	3	3	0	1	1	3	3	3	4	1	1	1	2	2	0	3	2	3	4	3
2ND 96_cs1535 St-0_A11	2ND	1	2	2	2	1	4	3	1	4	4	1	4	2	3	4	3	0	1	0	3	1	2	0	2	2	1	2	0	0	1	1	0	3	2	1	4	1	4	0	0	2	3	3	2	3	1	3	1	3	3	0	4	4	0	2	4	2	2	0	0	4	2	3	0	1	3	3	0	0	1	1	2	3	1	1	1	2	1	0	1	1	3	3	1	0	2	2	1	0	3	1	4	2	2	2	4	0	3	3	4	2	4	4	3	4	4	2	1	1	2	4	4	2	3	2	4	0	2	4	3	4	4	3	3	3	3	3	3	0	1	1	3	3	1	2	0	1	1	2	4	0	3	2	1	1	3
2ND 96_cs1539 Stw-0_B11	2ND	3	2	2	2	1	3	3	3	4	4	3	1	2	2	2	1	0	4	0	3	1	4	0	2	4	1	2	0	0	2	1	0	3	4	1	4	3	2	0	0	3	1	3	4	3	3	1	3	3	3	0	4	2	4	1	4	1	4	0	0	4	0	3	0	3	3	3	0	0	4	3	4	3	1	4	1	2	4	0	1	3	4	1	1	0	0	4	1	0	3	3	2	2	2	4	3	0	4	3	4	4	4	4	1	4	3	3	1	0	0	4	0	1	1	2	4	0	2	3	1	2	4	3	3	4	1	4	1	0	0	1	3	3	1	2	0	1	1	2	4	0	3	2	1	4	1
2ND 96_cs6002_H11	2ND	3	1	2	2	3	4	3	1	4	2	1	4	4	2	2	0	0	1	0	3	1	2	0	2	4	1	4	0	0	1	1	0	4	2	1	2	1	4	0	0	2	3	3	2	1	1	3	3	3	3	0	2	2	0	2	4	2	4	0	0	4	2	3	0	3	3	3	0	0	4	1	4	0	2	4	1	4	4	0	3	3	4	3	1	0	2	2	1	0	3	1	2	2	2	4	3	2	4	1	2	4	4	2	3	4	3	2	4	2	4	4	0	1	1	2	4	0	1	3	1	2	2	3	3	4	1	4	1	0	3	1	1	2	3	2	3	3	3	2	2	0	1	2	1	1	1
2ND 96_cs6033 Lisse_B12	2ND	1	2	2	2	1	3	3	1	4	4	1	4	2	3	2	1	0	4	0	4	1	2	0	4	4	3	2	0	0	1	3	0	4	4	1	2	1	4	0	0	3	3	3	4	1	1	3	3	3	4	0	4	4	4	1	2	1	4	0	0	4	0	3	0	3	3	3	0	0	1	3	2	3	1	4	1	4	1	0	1	1	3	1	2	0	2	2	3	0	1	3	4	2	2	2	4	0	3	1	4	4	4	4	1	2	4	2	1	1	2	1	0	1	1	4	4	0	2	3	1	4	2	1	3	4	3	3	3	0	1	0	1	3	3	2	0	3	1	2	2	0	1	2	1	1	3
2ND 96_cs6034_C12	2ND	3	1	3	2	1	4	3	1	4	2	1	1	4	3	0	3	0	4	0	3	1	4	0	2	4	1	4	0	0	1	1	0	3	4	1	2	3	4	0	0	3	3	1	4	1	1	1	1	3	4	0	4	2	4	2	2	2	2	0	0	2	0	3	0	3	1	3	1	0	1	1	2	3	1	1	1	4	1	0	3	3	3	3	1	0	0	4	3	0	3	1	2	2	2	4	3	0	3	3	4	2	4	2	3	4	4	2	1	1	4	4	4	2	1	2	3	0	2	3	3	2	2	1	1	4	3	3	1	0	3	1	3	3	1	2	0	1	3	3	2	0	3	4	3	1	3
2ND 96_cs6041_D12	2ND	1	2	3	2	1	4	1	1	2	2	1	1	2	2	2	3	0	4	0	3	2	4	0	2	2	3	2	0	0	2	1	0	3	2	1	2	3	4	0	0	3	3	3	2	3	1	3	3	3	3	0	2	4	9	1	2	2	4	0	0	2	0	3	0	1	3	3	0	0	1	0	2	3	1	4	1	4	4	0	1	1	4	1	1	0	0	4	1	0	3	1	4	2	1	2	4	0	3	3	4	2	4	4	3	2	3	2	4	1	4	4	0	2	3	2	4	0	2	3	1	2	2	3	3	4	3	3	3	0	3	1	1	3	3	4	1	1	1	3	4	0	3	2	3	1	3
2ND 96_cs6855 Sf-1_F12	2ND	1	1	2	4	1	3	3	1	4	2	3	4	4	2	2	3	0	4	0	4	1	4	0	2	2	3	0	0	0	2	1	0	4	4	1	2	1	4	0	0	2	3	3	4	1	1	1	1	1	3	0	2	2	2	1	4	1	4	0	0	4	0	3	0	1	1	1	0	0	1	1	2	3	1	4	1	4	1	0	3	3	4	1	1	0	0	2	1	0	1	1	4	2	1	4	4	2	4	3	4	2	4	4	3	4	3	2	1	1	4	4	0	2	1	2	4	0	2	3	3	2	2	1	3	4	1	3	1	0	3	1	3	3	3	4	0	3	1	3	2	0	3	4	3	1	1
2ND 96_Dem-4_F01	2ND	3	2	2	4	1	3	1	3	2	4	1	1	2	2	4	1	0	4	0	3	1	4	0	2	4	1	4	0	0	2	1	0	4	2	1	4	3	4	0	0	2	3	1	4	1	1	3	1	1	3	0	2	4	0	1	4	1	4	0	0	2	0	3	0	3	3	1	0	0	4	3	2	0	1	4	1	4	4	0	1	1	4	3	1	0	0	2	3	0	1	3	4	1	1	4	3	2	3	1	4	4	4	2	1	2	4	2	1	2	4	4	4	1	3	4	4	0	1	3	3	4	4	1	3	3	3	4	3	0	3	1	3	2	1	2	3	3	3	3	4	0	1	2	3	1	1
2ND 96_Dra 3-1_A05	2ND	3	2	2	2	1	3	3	1	2	4	3	4	4	3	0	3	0	4	0	4	2	2	0	2	4	3	4	0	0	2	3	0	3	4	1	2	3	2	0	0	3	1	3	4	1	3	1	3	3	4	0	2	9	4	2	2	1	4	0	0	4	0	3	0	1	3	3	0	0	1	3	2	0	2	1	1	4	1	0	1	3	3	3	1	0	2	2	1	0	3	1	2	2	1	4	3	2	3	1	2	4	4	4	3	4	4	2	4	1	2	4	4	1	1	2	0	0	2	3	1	4	2	3	3	4	1	3	1	0	3	0	3	2	1	2	0	1	3	3	2	0	1	2	3	4	3
2ND 96_DraII-1_A04	2ND	3	2	3	4	1	4	3	1	4	4	3	4	4	2	4	3	0	4	0	3	1	2	0	2	4	3	4	0	0	1	3	0	4	4	1	2	3	2	0	0	2	1	1	4	1	3	3	6	3	10	0	4	9	4	1	9	5	2	0	0	2	0	3	0	3	3	3	0	0	1	3	2	0	2	1	1	4	4	0	3	3	4	3	2	0	2	4	1	0	1	1	2	2	2	2	3	0	3	1	4	4	4	4	1	4	4	2	4	1	2	4	0	2	3	9	3	0	2	3	1	2	4	3	3	4	1	4	3	0	1	1	3	2	1	2	0	1	1	2	2	0	3	2	6	4	3
2ND 96_DraIII-1_B04	2ND	3	1	2	4	1	3	1	1	4	2	3	4	2	2	2	3	0	4	0	4	1	0	0	4	4	3	4	0	0	0	1	0	4	4	1	4	3	2	0	0	3	1	1	2	1	3	3	1	3	3	0	4	4	4	1	2	2	4	0	0	2	0	3	0	1	1	1	0	0	1	3	2	3	2	4	1	4	4	0	3	3	3	1	2	0	2	2	1	0	1	1	2	2	2	4	4	2	4	1	4	4	4	4	3	4	4	2	4	1	4	4	0	2	1	4	3	0	2	3	1	2	2	3	3	4	1	3	1	0	0	0	1	2	3	2	0	3	3	2	2	0	1	2	1	1	3
2ND 96_Duk_F03	2ND	3	2	2	2	1	4	3	1	4	4	3	4	2	2	2	1	0	1	0	3	1	2	0	2	4	3	2	0	0	0	1	0	3	4	1	2	1	4	0	0	2	1	1	4	3	3	3	1	3	4	0	4	4	4	1	4	1	4	0	0	4	0	3	0	1	1	1	0	0	1	3	2	3	2	4	1	4	4	0	3	3	4	1	2	0	2	4	1	0	3	1	4	2	2	4	4	0	4	1	4	2	4	4	1	4	3	2	4	2	4	4	0	2	1	2	3	0	0	3	1	2	2	3	3	4	3	3	1	0	3	0	6	2	3	2	0	1	1	2	2	0	3	2	3	4	3
2ND 96_EMPTY_A01	2ND	1	1	3	2	1	4	3	3	2	4	1	1	4	3	2	3	0	1	0	4	1	4	0	4	2	3	4	0	0	2	1	0	3	4	1	0	3	4	0	0	2	3	1	2	3	3	1	1	3	3	0	4	4	4	1	2	2	2	0	0	4	0	3	0	3	3	3	0	0	4	3	2	0	1	4	3	2	4	0	1	3	4	1	1	0	2	2	1	0	1	3	4	2	2	2	4	0	3	3	2	2	4	2	1	4	3	2	1	1	4	1	0	2	1	2	4	0	2	3	1	2	2	1	3	4	3	4	3	0	3	1	3	3	3	4	0	3	1	2	2	0	3	4	1	1	3
2ND 96_Fja 1-1_A03	2ND	1	1	2	2	3	4	0	3	4	2	1	4	2	0	0	1	0	4	0	3	1	0	0	4	2	3	4	0	0	2	0	0	3	0	1	0	3	4	0	0	2	3	3	4	3	3	3	1	3	3	0	4	2	4	1	2	2	0	0	0	4	0	3	0	1	3	3	0	0	4	3	2	0	2	4	1	4	1	0	3	3	3	3	1	0	0	2	1	0	1	1	4	2	1	4	4	0	4	3	4	2	4	4	3	4	3	3	4	2	4	1	0	2	1	4	4	0	2	4	1	4	2	3	3	4	1	4	3	0	3	0	1	3	0	2	0	3	1	2	4	0	1	4	1	4	3
2ND 96_Gul 1-2_D04	2ND	1	2	2	2	1	4	1	1	4	4	3	4	2	2	2	1	0	4	0	3	1	4	0	2	4	1	4	0	0	1	1	0	4	4	4	4	3	2	0	0	8	6	1	2	3	3	1	1	1	4	0	2	2	4	1	2	2	4	0	0	4	0	3	0	1	1	3	0	0	1	3	2	3	1	1	1	4	1	0	3	3	3	1	1	0	2	2	1	0	1	3	4	2	1	2	3	2	4	1	4	2	4	4	3	4	3	3	7	1	4	4	0	2	1	4	4	0	2	3	1	2	2	3	1	4	3	4	3	0	1	1	3	3	1	2	0	3	1	2	2	0	3	4	1	1	3
2ND 96_Hod _G03	2ND	3	2	2	4	1	0	3	1	2	4	3	1	4	2	4	1	0	1	0	4	1	2	0	2	4	1	2	0	0	2	1	0	4	4	1	4	3	4	0	0	3	3	3	4	1	3	3	3	3	4	0	4	2	4	1	2	2	2	0	0	4	0	4	0	1	1	1	0	0	1	0	4	3	1	1	1	2	1	0	3	3	3	3	1	0	2	4	1	0	1	1	4	2	2	2	4	0	3	1	2	4	1	4	3	4	3	2	1	1	4	4	0	2	1	2	3	0	2	3	1	4	4	3	3	4	3	3	3	0	1	1	1	2	1	2	0	1	3	2	4	0	3	2	1	4	1
2ND 96_Hov 2-1_D02	2ND	6	5	8	2	1	3	3	1	9	4	1	7	9	2	9	3	0	7	0	3	5	2	0	2	4	3	4	0	0	1	1	0	3	9	1	9	1	4	0	0	8	6	1	4	6	3	6	3	3	10	0	4	9	4	2	9	1	9	0	0	9	0	3	0	0	3	3	0	0	1	3	2	0	2	4	1	4	7	0	3	3	4	6	5	0	2	9	1	0	1	1	2	2	5	4	4	2	10	3	9	9	4	4	3	4	0	3	4	2	9	4	0	2	1	9	4	0	2	3	3	9	4	3	3	4	1	10	6	0	6	0	1	8	0	2	0	3	6	2	2	0	6	9	1	1	3
2ND 96_Hov 4-1_E02	2ND	1	1	3	2	1	3	3	3	4	4	1	4	2	2	2	3	0	4	0	4	1	2	0	2	4	3	4	0	0	2	1	0	3	4	1	4	1	2	0	0	3	3	1	4	3	3	1	3	3	3	0	4	4	4	2	2	1	4	0	0	2	0	3	0	1	3	3	0	0	4	3	2	3	2	4	1	4	1	0	1	3	4	1	2	0	2	2	1	0	1	1	4	2	1	4	3	2	3	3	2	2	4	4	1	4	4	2	1	2	4	1	0	2	3	2	4	0	2	4	1	2	4	3	3	4	1	3	1	0	3	0	3	3	3	2	0	3	3	2	4	0	3	4	1	4	1
2ND 96_Hovdala 2_F05	2ND	1	2	2	2	1	4	3	1	4	4	1	4	2	2	4	1	0	1	0	3	1	2	0	2	2	1	4	0	0	1	1	0	3	4	1	2	3	4	0	0	2	1	3	4	1	3	1	3	1	3	0	4	2	4	2	2	1	4	0	0	4	0	3	0	3	1	3	0	0	4	3	2	0	2	4	1	4	1	0	3	1	4	1	2	0	2	2	3	0	1	3	4	2	1	2	3	0	3	3	4	4	1	4	1	4	3	2	1	1	4	1	0	2	1	2	3	0	2	3	1	2	4	3	3	4	1	3	3	0	1	1	3	3	3	2	0	3	1	3	2	0	3	2	1	1	1
2ND 96_HSm_H03	2ND	3	2	2	4	1	3	3	1	4	4	3	1	2	3	2	3	0	4	0	3	1	4	0	2	4	1	4	0	0	2	3	0	4	4	1	0	3	2	0	0	2	3	1	4	1	3	3	3	3	4	0	4	2	4	1	2	2	2	0	0	4	0	3	0	3	3	3	0	0	1	3	2	3	2	1	1	4	4	0	3	3	3	3	2	0	2	4	1	0	3	1	2	2	2	4	4	2	3	3	4	4	1	4	1	2	3	2	1	1	4	4	0	1	1	2	3	0	2	3	1	2	2	3	3	4	1	3	3	0	1	1	3	2	3	2	0	3	3	2	4	0	3	2	3	4	1
2ND 96_Kavlinge-1_C06	2ND	3	1	3	4	1	4	3	1	4	4	3	4	2	3	2	3	0	1	0	4	1	2	0	4	2	1	4	0	0	1	3	0	4	4	1	0	3	4	0	0	2	1	3	2	3	3	1	1	3	4	0	4	2	4	1	2	2	4	0	0	4	0	3	0	1	1	1	0	0	4	0	2	0	1	4	1	4	1	0	3	3	3	3	2	0	2	2	3	0	1	1	4	2	2	4	3	0	3	1	2	2	4	4	1	4	3	2	4	1	4	1	0	2	1	2	4	0	2	3	1	2	2	1	1	4	1	3	3	0	3	0	3	3	1	2	0	3	1	2	2	0	1	4	1	4	1
2ND 96_Kni-1_B05	2ND	3	1	2	2	3	4	3	1	4	4	1	4	2	3	2	1	0	4	0	3	1	4	0	2	4	3	9	0	0	0	1	0	3	4	1	2	3	4	0	0	3	3	3	4	1	3	3	1	3	3	0	4	2	2	1	2	2	2	0	0	2	0	3	0	3	1	3	0	0	4	3	2	0	2	1	1	4	1	0	1	3	4	1	1	0	2	4	3	0	1	3	4	2	1	4	4	2	3	1	4	2	1	4	3	2	4	2	1	1	4	1	0	2	1	2	4	0	2	4	3	2	4	1	3	4	3	4	3	0	3	1	1	3	3	2	0	1	1	3	2	0	1	4	1	1	3
2ND 96_Kulturen 1_B06	2ND	1	2	2	4	1	4	3	1	2	4	3	4	2	3	2	3	0	1	0	3	1	2	0	4	4	1	4	0	0	1	1	0	3	4	4	2	3	4	0	0	2	3	1	4	1	3	3	3	3	4	0	4	4	2	1	2	2	2	0	0	4	0	3	0	1	3	3	0	0	4	0	2	0	2	4	1	4	1	0	1	3	3	3	2	0	2	2	3	0	3	3	4	2	2	4	4	0	4	0	2	4	1	2	1	2	3	3	4	2	4	1	0	2	1	4	4	0	2	3	1	2	2	3	3	4	3	4	1	0	3	1	3	0	3	2	0	1	1	2	2	0	3	4	1	4	3
2ND 96_Kz-13_G01	2ND	1	2	2	2	1	10	3	1	4	2	3	4	9	2	9	6	0	4	0	10	1	9	0	2	2	1	4	0	0	1	1	0	3	4	1	0	3	4	0	0	2	3	3	2	1	3	1	3	1	3	0	4	9	4	1	9	1	0	0	0	4	0	3	0	1	1	3	0	0	7	3	9	0	5	7	1	9	7	0	6	3	4	1	2	0	2	4	1	0	3	3	9	2	5	2	4	2	4	3	2	2	4	9	6	9	3	8	4	1	9	4	0	1	3	9	10	0	2	10	6	2	4	3	3	4	3	3	1	0	3	1	6	3	0	2	0	1	6	0	4	0	3	2	3	1	3
2ND 96_Liarum_H05	2ND	1	2	2	2	1	3	3	1	4	2	1	4	2	2	4	1	0	4	0	3	2	2	0	2	4	3	4	0	0	1	3	0	3	4	1	4	3	2	0	0	2	3	1	4	1	3	3	3	3	3	0	4	4	4	2	2	1	4	0	0	2	0	3	0	1	1	3	0	0	4	3	2	0	2	4	1	4	4	0	3	1	4	3	1	0	2	4	1	0	1	1	4	2	2	2	4	2	4	3	2	2	1	4	1	4	3	2	4	1	4	4	0	2	1	2	4	0	2	3	1	2	4	3	3	4	3	4	3	0	3	0	3	3	3	2	0	3	1	2	2	0	1	4	1	4	3
2ND 96_Lillo-1_B03	2ND	1	2	3	4	3	4	1	1	4	4	3	4	2	2	4	1	0	4	0	3	1	4	0	2	4	3	4	0	0	2	1	0	3	4	4	4	3	4	0	0	3	3	1	2	3	3	3	1	3	3	0	2	2	4	2	2	1	2	0	0	2	0	3	0	1	3	3	0	0	1	3	2	3	1	1	1	4	1	0	3	3	3	1	1	0	2	4	1	0	1	3	4	2	2	2	4	2	3	3	2	4	4	2	1	4	3	3	1	1	4	1	0	2	1	2	4	0	2	3	1	2	2	3	3	4	1	3	1	0	1	1	3	3	3	2	0	1	3	2	2	0	1	4	1	1	3
2ND 96_Lis-1_D05	2ND	3	2	2	4	1	3	3	3	4	4	3	4	2	3	4	3	0	4	0	3	1	2	0	2	4	3	2	0	0	2	1	0	3	4	1	2	3	4	0	0	3	1	1	4	3	3	3	1	3	3	0	4	2	4	2	2	1	4	0	0	4	0	3	0	1	3	3	0	0	4	3	2	3	1	4	1	2	1	0	3	3	4	1	0	0	2	4	1	0	1	3	4	2	2	4	4	2	3	3	4	4	1	4	1	4	4	2	4	1	2	4	0	2	1	2	4	0	2	3	1	4	4	3	1	3	3	3	3	0	3	1	3	3	3	2	0	1	3	2	2	0	3	4	1	1	3
2ND 96_Lom 1-1_G02	2ND	1	1	2	4	3	4	3	1	2	4	3	1	2	3	2	1	0	4	0	3	1	2	0	2	4	1	4	0	0	1	1	0	4	2	1	4	1	4	0	0	2	3	3	2	1	3	3	1	3	4	0	4	4	4	1	2	2	2	0	0	4	0	3	0	3	3	1	0	0	4	3	2	3	1	4	1	4	4	0	1	3	4	3	1	0	2	4	1	0	3	3	2	1	2	4	3	0	3	0	4	2	4	4	1	4	3	2	1	2	4	4	0	2	3	2	4	0	2	3	1	2	4	3	1	4	3	3	1	0	3	1	3	3	3	4	0	1	1	2	2	0	3	4	1	1	3
2ND 96_Lund_B01	2ND	3	1	2	2	3	4	3	3	4	2	1	4	2	3	2	1	0	1	0	4	1	4	0	2	4	3	4	0	0	2	3	0	3	4	1	2	3	4	0	0	3	3	3	2	3	3	1	1	3	3	0	4	4	4	1	2	1	4	0	0	2	0	3	0	3	1	3	0	0	4	3	2	0	2	1	1	4	1	0	1	3	4	1	1	0	2	4	3	0	1	3	4	2	1	4	4	2	3	1	4	2	1	4	3	2	4	2	1	1	4	4	0	2	1	2	4	0	2	4	3	2	4	1	3	4	3	4	3	0	3	0	1	3	1	2	0	1	1	3	2	0	1	4	1	1	3
2ND 96_NC-6_C01	2ND	3	1	0	4	1	3	1	3	4	4	1	4	4	2	2	1	0	4	0	0	1	2	0	2	4	1	4	0	0	2	1	0	4	2	1	4	3	4	0	0	2	3	1	4	1	1	6	3	3	0	0	4	2	4	0	4	1	4	0	0	2	0	3	0	3	3	0	0	0	1	3	0	3	0	4	0	4	1	0	1	1	4	3	1	0	0	0	3	0	1	0	4	1	1	4	0	0	3	1	4	4	4	0	1	4	4	2	1	1	4	4	4	1	1	4	4	0	1	4	3	0	0	3	1	3	3	0	3	0	0	1	0	3	1	4	0	1	3	3	4	0	0	0	3	1	1
